Title,Max (MGas/s),p50 (MGas/s),p95 (MGas/s),p99 (MGas/s),Min (MGas/s),N,Description,Start Time
tests_benchmark_test_worst_compute.py__test_worst_modexp[fork_Prague-benchmark-blockchain_test_engine_x_from_state_test-mod_exp_208_gas_balanced]-gas-value,94.97,91.44,92.91,94.56,86.72,4,Description not found on metadata file,2025-10-29 15:38:25.391663+00
tests_benchmark_test_worst_compute.py__test_worst_memory_access[fork_Prague-benchmark-blockchain_test_engine_x_from_state_test-big_memory_expansion_True-offset_initialized_False-offset_1-opcode_MLOAD]-gas-value,0,0,0,0,0,0,Description not found on metadata file,0
tests_benchmark_test_worst_compute.py__test_worst_zero_param[fork_Prague-benchmark-blockchain_test_engine_x_from_state_test-opcode_GASLIMIT]-gas-value,0,0,0,0,0,0,Description not found on metadata file,0
tests_benchmark_test_worst_compute.py__test_worst_zero_param[fork_Prague-benchmark-blockchain_test_engine_x_from_state_test-opcode_GASPRICE]-gas-value,0,0,0,0,0,0,Description not found on metadata file,0
tests_benchmark_test_worst_compute.py__test_worst_return_revert[fork_Prague-benchmark-blockchain_test_engine_x_from_state_test-1KiB of non-zero data-opcode_REVERT]-gas-value,0,0,0,0,0,0,Description not found on metadata file,0
tests_benchmark_test_worst_compute.py__test_worst_zero_param[fork_Prague-benchmark-blockchain_test_engine_x_from_state_test-opcode_BASEFEE]-gas-value,0,0,0,0,0,0,Description not found on metadata file,0
tests_benchmark_test_worst_stateful_opcodes.py__test_worst_address_state_warm[fork_Prague-benchmark-blockchain_test_engine_x_from_state_test-absent_target_True-opcode_BALANCE]-gas-value,0,0,0,0,0,0,Description not found on metadata file,0
tests_benchmark_test_worst_compute.py__test_worst_modexp[fork_Prague-benchmark-blockchain_test_engine_x_from_state_test-mod_vul_example_1]-gas-value,127.76,120.03,124.03,127.01,112.84,4,Description not found on metadata file,2025-10-29 15:39:10.199829+00
tests_benchmark_test_worst_compute.py__test_worst_push[fork_Prague-benchmark-blockchain_test_engine_x_from_state_test-opcode_PUSH29]-gas-value,0,0,0,0,0,0,Description not found on metadata file,0
tests_benchmark_test_worst_stateful_opcodes.py__test_worst_selfdestruct_created[fork_Prague-benchmark-blockchain_test_engine_x_from_state_test-value_bearing_False]-gas-value,0,0,0,0,0,0,Description not found on metadata file,0
tests_benchmark_test_worst_opcode.py__test_worst_log_opcodes[fork_Prague-benchmark-blockchain_test_engine_x_from_state_test-fixed_offset_False-zeros_topic-1_MiB_non_zero_data-log2]-gas-value,0,0,0,0,0,0,Description not found on metadata file,0
tests_benchmark_test_worst_compute.py__test_worst_swap[fork_Prague-benchmark-blockchain_test_engine_x_from_state_test-opcode_SWAP1]-gas-value,0,0,0,0,0,0,Description not found on metadata file,0
tests_benchmark_test_worst_compute.py__test_worst_memory_access[fork_Prague-benchmark-blockchain_test_engine_x_from_state_test-big_memory_expansion_False-offset_initialized_False-offset_31-opcode_MSTORE]-gas-value,0,0,0,0,0,0,Description not found on metadata file,0
